Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max;Simulering;InklNormal'
201222;122.2Z;Vigda;Buvikselva;Trøndelag;Skaun;2013;445;10;0;455;460.6;38.4;0;499;0.55;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;308.9655172;231.7241379;386.2068966;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201222;122.2Z;Vigda;Buvikselva;Trøndelag;Skaun;2014;201;3;0;204;247;9.5;0;256.5;0.55;0.7;0.55;0.2;0.25;0.3;0.1;0.2;0.3;0.05;0.1;0.2;308.9655172;231.7241379;386.2068966;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201222;122.2Z;Vigda;Buvikselva;Trøndelag;Skaun;2015;482;16;0;498;594;54;0;648;0.55;0.7;0.55;0.453551913;0.49195597;0.525316456;0.453551913;0.49195597;0.525316456;0.453551913;0.49195597;0.525316456;308.9655172;231.7241379;386.2068966;NA;NA;NA;NA;0;NA;16;0;0;16;16;0;0;16;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201222;122.2Z;Vigda;Buvikselva;Trøndelag;Skaun;2016;157;13;0;170;176.89;46.5;0;223.39;0.55;0.7;0.55;0.357894737;0.394039735;0.426332288;0.357894737;0.394039735;0.426332288;0.357894737;0.394039735;0.426332288;308.9655172;231.7241379;386.2068966;NA;NA;NA;NA;0;NA;15;0;0;15;15;0;0;15;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201222;122.2Z;Vigda;Buvikselva;Trøndelag;Skaun;2017;280;18;0;298;336;70;0;406;0.55;0.7;0.55;0.285714286;0.31372549;0.339622642;0.102773246;0.115755627;0.12836767;0.102773246;0.115755627;0.12836767;308.9655172;231.7241379;386.2068966;NA;NA;NA;NA;0;NA;37;0;0;37;42;0;0;42;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201222;122.2Z;Vigda;Buvikselva;Trøndelag;Skaun;2018;2;1;1;4;2.8;4;7.1;13.9;0.55;0.7;0.55;0.006591337;0.00752587;0.008458647;0.006882989;0.007858546;0.008832188;0.104477612;0.117647059;0.130434783;308.9655172;231.7241379;386.2068966;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
201222;122.2Z;Vigda;Buvikselva;Trøndelag;Skaun;2019;63;8;0;71;78.6;29.9;0;108.5;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;308.9655172;231.7241379;386.2068966;NA;NA;NA;20;0;1;2;0;1;3;1.1;0;7;8.1;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;192;52;2;246;0.75;0.65;0.8;0.75;0.65;0.8;0.75;0.65;0.8;1;1
201222;122.2Z;Vigda;Buvikselva;Trøndelag;Skaun;2020;114;0;0;114;136;0;0;136;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;308.9655172;231.7241379;386.2068966;NA;NA;NA;23;0;1;2;0;0;2;2;0;0;2;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;249;52;3;304;0.7;0.6;0.8;0.7;0.6;0.8;0.7;0.6;0.8;1;1
201222;122.2Z;Vigda;Buvikselva;Trøndelag;Skaun;2021;53;0;0;53;68.1;0;0;68.1;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;308.9655172;231.7241379;386.2068966;NA;NA;NA;NA;0;NA;4;0;0;4;3.1;0;0;3.1;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;35;22;15;72;0.25;0.2;0.35;0.25;0.2;0.35;0.3;0.2;0.4;1;1
201222;122.2Z;Vigda;Buvikselva;Trøndelag;Skaun;2022;82;1;0;83;100.6;3.5;0;104.1;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;308.9655172;231.7241379;386.2068966;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;336;45;4;385;0.7;0.6;0.8;0.7;0.6;0.8;0.7;0.6;0.8;1;1
201222;122.2Z;Vigda;Buvikselva;Trøndelag;Skaun;2023;35;0;0;35;37.5;0;0;37.5;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;308.9655172;231.7241379;386.2068966;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0.55;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;103;25;0;128;0.55;0.45;0.65;0.55;0.45;0.65;0.55;0.45;0.65;1;1
