Fylke;Kommune;Kommunenr;Østlandet;Drammen;Agderkysten;Jæren;Kysten_fra_Stadt_til_Stavanger;Kysten_av_Møre_og_Romsdal;Kysten_av_Trøndelag;Nordlandskysten_sør_for_Vestfjorden;Lofoten_og_Vesterålen;Kysten_av_Troms;Finnmark_vest;Finnmark_midt;Finnmark_øst;Varangerfjord;Lyngen_Reisa;Kvænangen;Fjordene_i_Vest-Finnmark;Porsangerfjorden;Tanafjorden;Køfjord_Bøkfjord_Jarfjord;Indre_Rogaland;Hardangerfjord;Osterøy;Austfjorden;Sognefjorden;Dalsfjorden;Førdefjorden;Nordfjord;Sunnmørsfjordene;Romsdalsfjord;Sunndalsfjord;Nordmørsfjordene;Hemnfjorden;Trondheimsfjorden;Åfjord;Namsfjorden;Follafjorden;Sørsalten;Bindalsfjorden;Vellfjorden;Vefsnfjorden;Sjona;Ranafjorden;Beiarfjorden;Skjerstadfjorden;Sørfolda;Ofot_Efjord_Tysfjord;Astafjorden_Salangen;Malangen;Balsfjord
7;0701 Horten (2002-2019);0701 ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0702 Holmestrand (-2017);0702 ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0703 Horten (-1987);0703 ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0704 Tønsberg (1988-2019);0704 ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0705 Tønsberg (-1987);0705 ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0706 Sandefjord (-2016);0706 ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0707 Larvik (-1987);0707 ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0708 Stavern (1944-1987);0708 ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0709 Larvik (1988-2017);0709 ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0710 Sandefjord (2017-2019);0710 ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
