Kommune;Østlandet;Agderkysten;Jæren;Kysten_fra_Stadt_til_Stavanger;Kysten_av_Møre_og_Romsdal;Kysten_av_Trøndelag;Nordlandskysten_sør_for_Vestfjorden;Lofoten_og_Vesterålen;Kysten_av_Troms;Kysten_av_Finnmark;Indre_Rogaland;Indre_Hordaland;Sognefjorden;Indre_Fjordane;Fjordene_i_Møre_og_Romsdal;Fjordstrøk_i_Trøndelag;Indre_Helgeland;Ofoten_og_Indre_Salten;Fjordstrøkene_i_Troms;Fjordene_i_Vest-Finnmark;Porsangerfjorden;Tanafjorden;Indre_Varanger
1253 Osterøy (-2019);;;;;;;;;;;;1;;;;;;;;;;;
1255 Åsane (-1971);;;;;;;;;;;;;;;;;;;;;;;
1256 Meland (-2019);;;;;;;;;;;;1;;;;;;;;;;;
1259 Øygarden (-2019);;;;1;;;;;;;;;;;;;;;;;;;
1260 Radøy (-2019);;;;0.5;;;;;;;;0.5;;;;;;;;;;;
1263 Lindås (-2019);;;;;;;;;;;;1;;;;;;;;;;;
1264 Austrheim (-2019);;;;1;;;;;;;;;;;;;;;;;;;
1265 Fedje (-2019);;;;1;;;;;;;;;;;;;;;;;;;
1266 Masfjorden (-2019);;;;;;;;;;;;1;;;;;;;;;;;
1299 Uoppgitt kommune Hordaland;;;;;;;;;;;;;;;;;;;;;;;
1401 Flora (-2019);;;;1;;;;;;;;;;;;;;;;;;;
1411 Gulen (-2019);;;;0.5;;;;;;;;;0.5;;;;;;;;;;
1412 Solund (-2019);;;;1;;;;;;;;;;;;;;;;;;;
1413 Hyllestad (-2019);;;;0.5;;;;;;;;;0.5;;;;;;;;;;
1416 Høyanger (-2019);;;;;;;;;;;;;1;;;;;;;;;;
1417 Vik (-2019);;;;;;;;;;;;;1;;;;;;;;;;
1418 Balestrand (-2019);;;;;;;;;;;;;1;;;;;;;;;;
1419 Leikanger (-2019);;;;;;;;;;;;;1;;;;;;;;;;
1420 Sogndal (-2019);;;;;;;;;;;;;1;;;;;;;;;;
1421 Aurland (-2019);;;;;;;;;;;;;1;;;;;;;;;;
1422 Lærdal (-2019);;;;;;;;;;;;;1;;;;;;;;;;
1424 Årdal (-2019);;;;;;;;;;;;;1;;;;;;;;;;
1426 Luster (-2019);;;;;;;;;;;;;1;;;;;;;;;;
1428 Askvoll (-2019);;;;0.5;;;;;;;;;;0.5;;;;;;;;;
1429 Fjaler (-2019);;;;0.5;;;;;;;;;;0.5;;;;;;;;;
1430 Gaular (-2019);;;;;;;;;;;;;;1;;;;;;;;;
1431 Jølster (-2019);;;;;;;;;;;;;;;;;;;;;;;
1432 Førde (-2019);;;;;;;;;;;;;;1;;;;;;;;;
1433 Naustdal (-2019);;;;;;;;;;;;;;1;;;;;;;;;
1438 Bremanger (-2019);;;;0.5;;;;;;;;;;0.5;;;;;;;;;
1439 Vågsøy (-2019);;;;0.5;;;;;;;;;;0.5;;;;;;;;;
1441 Selje (-2019);;;;0.5;;;;;;;;;;0.5;;;;;;;;;
1443 Eid (-2019);;;;;;;;;;;;;;1;;;;;;;;;
1444 Hornindal (-2019);;;;;;;;;;;;;;;;;;;;;;;
1445 Gloppen (-2019);;;;;;;;;;;;;;1;;;;;;;;;
1448 Stryn (-1976);;;;;;;;;;;;;;1;;;;;;;;;
1449 Stryn (1977-2019);;;;;;;;;;;;;;1;;;;;;;;;
1499 Uoppgitt kommune Sogn og Fjordane;;;;;;;;;;;;;;;;;;;;;;;
1501 Ålesund (-1976);;;;;;;;;;;;;;;1;;;;;;;;
1502 Molde (-2019);;;;;;;;;;;;;;;1;;;;;;;;
1503 Kristiansund  (-2007);;;;;1;;;;;;;;;;;;;;;;;;
1504 Ålesund (1977-2019);;;;;;;;;;;;;;;1;;;;;;;;
1505 Kristiansund;;;;;1;;;;;;;;;;;;;;;;;;
1506 Molde;;;;;;;;;;;;;;;1;;;;;;;;
1507 Ålesund;;;;;;;;;;;;;;;1;;;;;;;;
1511 Vanylven;;;;;;;;;;;;;;;1;;;;;;;;
1514 Sande (Møre og Romsdal);;;;;0.5;;;;;;;;;;0.5;;;;;;;;
1515 Herøy (Møre og Romsdal);;;;;0.5;;;;;;;;;;0.5;;;;;;;;
1516 Ulstein;;;;;0.5;;;;;;;;;;0.5;;;;;;;;
1517 Hareid;;;;;;;;;;;;;;;1;;;;;;;;
1519 Volda (-2019);;;;;;;;;;;;;;;1;;;;;;;;
1520 Ørsta;;;;;;;;;;;;;;;1;;;;;;;;
1523 Ørskog (1977-2019);;;;;;;;;;;;;;;1;;;;;;;;
1524 Norddal (-2019);;;;;;;;;;;;;;;1;;;;;;;;
1525 Stranda;;;;;;;;;;;;;;;1;;;;;;;;
1526 Stordal (-2019);;;;;;;;;;;;;;;1;;;;;;;;
1527 Ørskog (-1976);;;;;;;;;;;;;;;1;;;;;;;;
1528 Sykkylven;;;;;;;;;;;;;;;1;;;;;;;;
1529 Skodje (-2019);;;;;;;;;;;;;;;1;;;;;;;;
1531 Sula;;;;;;;;;;;;;;;1;;;;;;;;
1532 Giske;;;;;1;;;;;;;;;;;;;;;;;;
1534 Haram (-2019);;;;;0.5;;;;;;;;;;0.5;;;;;;;;
1535 Vestnes;;;;;;;;;;;;;;;1;;;;;;;;
1539 Rauma;;;;;;;;;;;;;;;1;;;;;;;;
1543 Nesset (-2019);;;;;;;;;;;;;;;1;;;;;;;;
1545 Midsund (-2019);;;;;0.5;;;;;;;;;;0.5;;;;;;;;
1546 Sandøy (-2019);;;;;1;;;;;;;;;;;;;;;;;;
1547 Aukra;;;;;1;;;;;;;;;;;;;;;;;;
1548 Fræna (-2019);;;;;1;;;;;;;;;;;;;;;;;;
1551 Eide (-2019);;;;;0.5;;;;;;;;;;0.5;;;;;;;;
1554 Averøy;;;;;0.5;;;;;;;;;;0.5;;;;;;;;
1556 Frei (-2007);;;;;;;;;;;;;;;1;;;;;;;;
1557 Gjemnes;;;;;;;;;;;;;;;1;;;;;;;;
1560 Tingvoll;;;;;;;;;;;;;;;1;;;;;;;;
1563 Sunndal;;;;;;;;;;;;;;;1;;;;;;;;
1566 Surnadal;;;;;;;;;;;;;;;1;;;;;;;;
1567 Rindal (-2018);;;;;;;;;;;;;;;;;;;;;;;
1569 Aure (-2005);;;;;0.5;;;;;;;;;;0.5;;;;;;;;
1571 Halsa (-2019);;;;;;;;;;;;;;;1;;;;;;;;
1572 Tustna (-2005);;;;;0.5;;;;;;;;;;0.5;;;;;;;;
1573 Smøla;;;;;1;;;;;;;;;;;;;;;;;;
1576 Aure;;;;;0.5;;;;;;;;;;0.5;;;;;;;;
1577 Volda;;;;;;;;;;;;;;;;;;;;;;;
1578 Fjord;;;;;;;;;;;;;;;;;;;;;;;
1579 Hustadvika;;;;;;;;;;;;;;;;;;;;;;;
1599 Uoppgitt kommune Møre og Romsdal;;;;;;;;;;;;;;;;;;;;;;;
1601 Trondheim (-2017);;;;;;;;;;;;;;;;1;;;;;;;
1612 Hemne (-2017);;;;;;0.5;;;;;;;;;;0.5;;;;;;;
1613 Snillfjord (-2017);;;;;;0.5;;;;;;;;;;0.5;;;;;;;
