Fylke;Aar;Laks under 3 kg (kg);Laks 3 - 6,9 kg (kg);Laks 7 kg og over (kg);Laks under 3 kg (stk);Laks 3 - 6,9 kg (stk);Laks 7 kg og over (stk)
50;1996;0;0;0;0;0;0
50;1997;0;0;0;0;0;0
50;1998;0;0;0;0;0;0
50;1999;0;0;0;0;0;0
50;2000;0;0;0;0;0;0
50;2001;0;0;0;0;0;0
50;2002;0;0;0;0;0;0
50;2003;0;0;0;0;0;0
50;2004;0;0;0;0;0;0
50;2005;0;0;0;0;0;0
50;2006;0;0;0;0;0;0
50;2007;0;0;0;0;0;0
50;2008;0;0;0;0;0;0
50;2009;0;0;0;0;0;0
50;2010;0;0;0;0;0;0
50;2011;0;0;0;0;0;0
50;2012;0;0;0;0;0;0
50;2013;0;0;0;0;0;0
50;2014;0;0;0;0;0;0
50;2015;0;0;0;0;0;0
50;2016;0;0;0;0;0;0
50;2017;0;0;0;0;0;0
50;2018;1255;3088;509;571;673;57
50;2019;1136;2170;853;503;473;103
16;1993;215;104;144;122;25;14
16;1994;888;291;149;434;75;18
16;1995;126;540;141;61;120;17
16;1996;0;0;0;0;0;0
16;1997;618;695;158;259;182;19
16;1998;557;597;207;274;135;24
16;1999;420;691;142;184;148;17
16;2000;1162;598;251;524;137;29
16;2001;515;459;72;228;99;9
16;2002;547;1204;342;263;244;42
16;2003;853;1053;487;411;249;48
16;2004;250;776;128;114;177;16
16;2005;1972;3805;4246;853;690;446
16;2006;1908;6078;4360;899;1250;453
16;2007;288;2635;1314;121;538;146
16;2008;1396;2996;1540;609;640;174
16;2009;1004;2581;1125;419;556;128
16;2010;489;652;171;223;144;20
16;2011;181;867;331;78;187;42
16;2012;203;582;255;91;129;30
16;2013;238;1035;293;107;237;35
16;2014;745;634;92;347;158;10
16;2015;516;1114;265;250;258;30
16;2016;194;760;210;84;173;23
16;2017;996;1387;320;466;321;37
16;2018;0;0;0;0;0;0
16;2019;0;0;0;0;0;0
17;1993;52;22;69;28;4;8
17;1994;163;30;72;81;6;8
17;1995;44;95;83;18;21;10
17;1996;20;83;107;9;17;11
17;1997;0;0;0;0;0;0
17;1998;150;114;22;82;24;2
17;1999;247;483;133;114;106;15
17;2000;690;519;243;321;102;28
17;2001;714;435;205;379;89;24
17;2002;75;577;302;38;110;33
17;2003;243;216;76;117;49;9
17;2004;34;149;44;18;32;5
17;2005;250;253;198;118;53;22
17;2006;180;498;292;87;113;33
17;2007;44;411;204;21;88;24
17;2008;505;1840;829;232;406;93
17;2009;205;358;156;95;86;17
17;2010;265;657;240;126;148;29
17;2011;348;1133;334;170;247;40
17;2012;0;0;0;0;0;0
17;2013;589;2089;697;255;459;79
17;2014;0;0;0;0;0;0
17;2015;251;617;198;120;130;24
17;2016;369;811;291;168;189;34
17;2017;229;574;149;102;133;16
17;2018;0;0;0;0;0;0
17;2019;0;0;0;0;0;0
18;1993;75;46;4;30;11;1
18;1994;49;33;7;21;9;1
18;1995;114;240;45;60;53;5
18;1996;187;159;0;73;37;0
18;1997;171;441;53;88;95;6
