Aar;VdrNr;Vassdrag;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
2014;002.Z;Glommavassdraget;12;126;140;6;23;17;40;118;108;21;23;13
2015;002.Z;Glommavassdraget;76;53;189;38;11;21;84;142;146;46;30;15
2016;002.Z;Glommavassdraget;22;174;203;12;32;23;19;169;147;12;34;18
2017;002.Z;Glommavassdraget;82;75;307;40;16;28;104;351;492;54;72;54
2018;002.Z;Glommavassdraget;63;67;67;29;14;8;87;204;238;42;41;28
2019;002.Z;Glommavassdraget;35;30;151;22;6;17;36;332;873;20;59;101
2020;002.Z;Glommavassdraget;30;102;108;13;21;11;58;800;495;26;165;58
2021;002.Z;Glommavassdraget;14;19;85;7;4;8;38;126;521;18;24;58
2022;002.Z;Glommavassdraget;36;20;9;17;5;1;111;252;232;53;56;25
2023;002.Z;Glommavassdraget;38;20;36;20;4;4;237;364;578;120;67;63
2024;002.Z;Glommavassdraget;0;0;13;0;0;1;3;13;58;1;2;6
1993;004.Z;Hølenelva;0;0;0;0;0;0;0;0;0;0;0;0
1994;004.Z;Hølenelva;0;0;0;0;0;0;0;0;0;0;0;0
1995;004.Z;Hølenelva;0;0;0;0;0;0;0;0;0;0;0;0
1996;004.Z;Hølenelva;0;0;0;0;0;0;0;0;0;0;0;0
1997;004.Z;Hølenelva;0;0;0;0;0;0;0;0;0;0;0;0
1998;004.Z;Hølenelva;0;0;0;0;0;0;0;0;0;0;0;0
1999;004.Z;Hølenelva;0;0;0;0;0;0;0;0;0;0;0;0
2000;004.Z;Hølenelva;0;0;0;0;0;0;0;0;0;0;0;0
2001;004.Z;Hølenelva;0;0;0;0;0;0;0;0;0;0;0;0
2002;004.Z;Hølenelva;0;0;0;0;0;0;0;0;0;0;0;0
2003;004.Z;Hølenelva;0;0;0;0;0;0;0;0;0;0;0;0
2004;004.Z;Hølenelva;0;0;0;0;0;0;0;0;0;0;0;0
2005;004.Z;Hølenelva;0;0;0;0;0;0;0;0;0;0;0;0
2006;004.Z;Hølenelva;0;0;0;0;0;0;0;0;0;0;0;0
2007;004.Z;Hølenelva;0;0;0;0;0;0;0;0;0;0;0;0
2008;004.Z;Hølenelva;0;0;0;0;0;0;0;0;0;0;0;0
