Vassdrag;VdrNr;Andel_hunn;Fangst;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim
Nausta;084.7Z;0.6;;;;;;TRUE
Dalselva (Dale);082.5Z;0.64;;;;;;TRUE
Flekkeelva;082.Z;0.59;;;;;;TRUE
Gaula i Sunnfjorden;083.Z;0.58;;;;;;TRUE
Kvamselva;083.2Z;0.63;;;;232;;TRUE
Rivedalselva;083.4Z;0.56;1;;0.4;;;FALSE
Ervikelva;091.3Z;0.67;;;;;;TRUE
Indrehusvassdraget;086.1Z;0.62;1;;0.39;;;FALSE
Norddalselva (Flora);085.5Z;0.58;1;;0.27;;;FALSE
Osenelva;085.Z;0.56;;;;;;TRUE
Solheimsvassdraget;085.4Z;0.54;1;;0.5;;;FALSE
Fjellvassdraget;057.2Z;0.38;0;;0.38;;;FALSE
Kjærelva;044.5Z;0.58;1;;0.35;;;FALSE
Batnfjordselva;108.3Z;0.55;1;;0.5;;;FALSE
Fjelna;113.Z;0.61;;;;;;TRUE
Bævra;112.3Z;0.56;1;;0.38;;;FALSE
Driva;109.Z;0.53;1;;0.6;;;FALSE
Litledalselva;109.5Z;0.55;1;;0.27;;;FALSE
Nås (Vågsbøelva);108.2Z;0.55;;;;;;TRUE
Surna;112.Z;0.58;;;;;;TRUE
Søya;111.7Z;0.6;;;;;;TRUE
Todalselva (Aure);113.6Z;0.57;1;;0.5;;;FALSE
Toåa (Tordalselva Surnadal);111.Z;0.59;;;;;;TRUE
Usma;109.4Z;0.58;1;;0.5;;;FALSE
Vassgårdselva;108.221Z;0.56;1;;0.58;;;FALSE
Eira;104.Z;0.49;;;;;;TRUE
Innfjordelva;103.2Z;0.6;1;;0.49;;;FALSE
Isa (Henselva);103.4Z;0.58;1;;0.48;;;FALSE
Måna;103.1Z;0.639341918;1;;0.48;;;FALSE
Oselva;105.Z;0.62;;;;;;TRUE
Istadelva (Olterelva);105.3Z;0.57;1;;0.43;;;FALSE
Rauma;103.Z;0.52;1;;0.26;;;FALSE
Skorgeelva (Vestnes);102.5Z;0.6;1;;0.53;;;FALSE
Tressa;102.6Z;0.63;;;;;;TRUE
Visa;104.2Z;0.65;;;;;;TRUE
Aureelva;097.72Z;0.62;;;;;;TRUE
Austefjordelva;094.4Z;0.59;;;;;;TRUE
Barstadvikelva;095.4Z;0.67;;;;;18;TRUE
Bondalselva;097.1Z;0.64;;;;;1856;TRUE
Eidsdalselva (Ytterdalselva);099.1Z;0.54;1;;0.49;;;FALSE
Hareidvassdraget;096.1Z;0.66;1;;0.44;;1033;FALSE
Korsbrekkelva;098.6Z;0.58;;;;;;TRUE
Norangdalselva;097.4Z;0.58;;;0.46;;;FALSE
Norddalselva (Norddal);099.2Z;0.6;1;;0.37;;;FALSE
Norddalselva (Vanylven);093.3Z;0.54;1;;0.5;;;FALSE
Oselva (Syvde);093.2Z;0.68;;;;;;TRUE
Riksheimselva;097.6Z;0.58;1;;0.5;;;FALSE
Solnørelva;101.2Z;0.59;;;;;;TRUE
Standalselva;097.11Z;0.67;1;;0.39;;;FALSE
Stordalselva;100.2Z;0.52;;;;;;TRUE
Storelva (Søre Vartdal);095.3Z;0.5;;;;;;TRUE
Strandaelva;098.3Z;0.65;;;;;;TRUE
Tafjordelva;099.Z;0.57;1;;0.5;;;FALSE
Tennfjordelva;101.6Z;0.66;;;;;;TRUE
Vagsvikelva;100.3Z;0.6;1;;0.51;;;FALSE
Valldalselva;100.Z;0.55;;;;;;TRUE
Velledalselva (Fet);097.7Z;0.62;;;;;;TRUE
Vikelva (Bjørke);097.2Z;0.62;;;;;;TRUE
Vikelva (Sykkylven);097.721Z;0.59;1;;0.5;;;FALSE
Ørskogelva;101.1Z;0.59;;;;;;TRUE
Ørstaelva;095.Z;0.62;;;;;;TRUE
Øyraelva (Volda);094.6Z;0.57;1;;0.44;;;FALSE
Åheimselva;092.Z;0.61;;;;;;TRUE
Hildreelva;102.11Z;0.58;1;;0.5;;;FALSE
Hustadelva;107.6Z;0.62;;;;;;TRUE
Sylteelva (Moa);107.3Z;0.62;;;;;;TRUE
Horvenelva;143.532Z;0.57;1;;0.4;;;FALSE
Kongsmoelva;142.3Z;0.6;;;;;;TRUE
Kvistenelva;141.4Z;0.56;1;;0.43;;;FALSE
Nordfolda;142.3AZ;0.62;;;;;;TRUE
Opløyelva;141.Z;0.59;1;;0.39;;;FALSE
Aursunda;138.5Z;0.59;;;;;;TRUE
