Vassdrag;VdrNr;RegionNr;RegionNavn;Filnavn;GBM;GBM_lav;GBM_hoy;Andel15;GytingSim;Fjord;Ytre;Lnr;Normalbeskatningsregion;FemSeaAge;SmoltAge;Inkluder;Latitude;Longitude;Delbestand;Hovedbestand_nr;Andel
Straumenvassdraget;166.4Z;35;Sørfolda;166.4Z_Straumen;;;;0.95;FALSE;Sørfolda;FALSE;258;Midt;;;;67.3475;15.59347;0;;
Laksåga;166.5Z;35;Sørfolda;LaksaagaSorfold;203;102;305;0.99;TRUE;Sørfolda;FALSE;256;Midt;1.5;4;0;67.43495;15.69178;0;;
Bonnåga;167.3Z;35;Sørfolda;Bonnaa;210;157;315;0.96;TRUE;Sørfolda;FALSE;253;Midt;1;4;1;67.5724107;15.7321554;0;;
Kobbelvvassdraget;167.Z;35;Sørfolda;167.Z_Kobbelvv;234;117;351;0.97;FALSE;Sørfolda;FALSE;254;Midt;;;;67.59243;15.88011;0;;
Mørsvikelva;168.5Z;35;Sørfolda;Morsvikelva;21;10;31;0.9;TRUE;Sørfolda;FALSE;;Midt;1;4;1;67.70945;15.85488;0;;
Hopvassdraget (Steigen);168.6Z;7;Nordlandskysten_sør_for_Vestfjorden;168.6Z_Hopvassd;150;75;225;0.97;FALSE;;TRUE;269;Midt;;;;67.78675;15.61017;0;;
Lommervassdraget (Bellkjøselva);168.7Z;7;Nordlandskysten_sør_for_Vestfjorden;168.7Z_Lommerva;;;;1.04;FALSE;;TRUE;271;Midt;;;;67.85394;15.45058;0;;
Varpavassdraget;170.5Z;7;Nordlandskysten_sør_for_Vestfjorden;Varpa;218;163;272;0.78;TRUE;;TRUE;252;Midt;1;4;1;68.0233021;15.9539155;0;;
Sagvatnanvassdraget;170.Z;36;Ofot_Efjord_Tysfjord;170.Z_Sagvatna;;;;0.62;FALSE;Ofot, Efjord og Tysfjord;FALSE;247;Midt;;;;67.90608;15.86437;0;;
Muskvikelva;171.6Z;36;Ofot_Efjord_Tysfjord;171.6Z_Muskvike;;;;0.6;FALSE;Ofot, Efjord og Tysfjord;FALSE;243;Midt;;;;68.02513;16.51422;0;;
Stabburselva og Draugelva;171.Z;36;Ofot_Efjord_Tysfjord;171.Z_Stabburs;86;43;129;0.84;FALSE;Ofot, Efjord og Tysfjord;FALSE;257;Midt;;;;67.81696;16.51184;0;;
Forsåvassdraget;172.Z;36;Ofot_Efjord_Tysfjord;Forsaa;324;225;485;0.91;TRUE;Ofot, Efjord og Tysfjord;FALSE;237;Midt;1;4;1;68.2722656;16.6293572;0;;
Kjeldelva;173.1Z;36;Ofot_Efjord_Tysfjord;Kjeld;364;273;546;0.59;TRUE;Ofot, Efjord og Tysfjord;FALSE;239;Midt;1;4;1;68.4204227;16.6267245;0;;
Rånavassdraget;173.3Z;36;Ofot_Efjord_Tysfjord;Raana;91;68;137;0.97;TRUE;Ofot, Efjord og Tysfjord;FALSE;246;Midt;1;4;1;68.3558598;17.0112656;0;;
Skjoma;173.Z;36;Ofot_Efjord_Tysfjord;Skjoma;547;274;821;0.97;TRUE;Ofot, Efjord og Tysfjord;FALSE;248;Midt;2;4;1;68.2493267;17.3910776;0;;
Lakselva (Beisfjord);174.2Z;36;Ofot_Efjord_Tysfjord;174.2Z_Lakselva;;;;0.38;FALSE;Ofot, Efjord og Tysfjord;FALSE;241;Midt;;;;68.37446;17.59617;0;;
Rombakselva;174.3Z;36;Ofot_Efjord_Tysfjord;174.3Z_Rombakse;60;30;90;0.9;FALSE;Ofot, Efjord og Tysfjord;FALSE;245;Midt;;;;68.41448;17.90031;0;;
Elvegårdselva;174.5Z;36;Ofot_Efjord_Tysfjord;Elvegard;172;129;258;0.99;TRUE;Ofot, Efjord og Tysfjord;FALSE;236;Midt;2;4;1;68.5461157;17.562934;0;;
Bogenvassdraget;175.2Z;36;Ofot_Efjord_Tysfjord;175.2Z_Bogenvas;;;;0.27;FALSE;Ofot, Efjord og Tysfjord;FALSE;235;Midt;;;;68.5262;16.9961;0;;
Laksåvassdraget (Evenes);175.3Z;36;Ofot_Efjord_Tysfjord;175.3Z_Laksåvas;50;37;74;0.37;FALSE;Ofot, Efjord og Tysfjord;FALSE;242;Midt;;;;68.49973;16.92261;0;;
Tårstadvassdraget;175.4Z;36;Ofot_Efjord_Tysfjord;Taarstad;312;234;467;0.46;TRUE;Ofot, Efjord og Tysfjord;FALSE;251;Midt;1;4;1;68.4641755;16.6476172;0;;
Myklebostadvassdraget;176.2Z;36;Ofot_Efjord_Tysfjord;176.2Z_Myklebos;40;30;60;0.39;FALSE;Ofot, Efjord og Tysfjord;FALSE;244;Midt;;;;68.42258;16.36414;0;;
Lakselva (Gullesfjord);177.1Z;9;Kysten_av_Troms;177.1Z_Lakselva;87;43;130;0.82;FALSE;;TRUE;356;Midt;;;;68.53153;15.74467;0;;
Melåa;177.2Z;9;Kysten_av_Troms;177.2Z_Melåa;;;;0.79;FALSE;;TRUE;359;Midt;;;;68.66587;16.08045;0;;
Botnelva (Kvæfjord);177.3Z;9;Kysten_av_Troms;177.3Z_Botnelva;;;;0.94;FALSE;;TRUE;351;Midt;;;;68.71156;16.2953;0;;
Kongsvikelva;177.6Z;9;Kysten_av_Troms;Kongsvikelva;120;90;180;0.57;TRUE;;TRUE;240;Midt;1;4;1;68.56403;16.2398;0;;
Sneiselvvassdraget;177.73Z;9;Kysten_av_Troms;Sneis;102;77;154;0.75;TRUE;;TRUE;249;Midt;1;4;1;68.40372;15.73869;0;;
Heggedalselva;177.7Z;9;Kysten_av_Troms;Heggedal;95;47;142;0.75;TRUE;;TRUE;238;Midt;1;4;1;68.50993;15.87518;0;;
Storvatnvassdraget (Lødingen);178.112Z;9;Kysten_av_Troms;178.112Z_Storvatn;;;;0.8;FALSE;;TRUE;250;Midt;;;;68.46705;15.49804;0;;
Kongselvvassdraget;178.2Z;8;Lofoten_og_Vesterålen;178.2Z_Kongselv;;;;0.61;FALSE;;TRUE;300;Midt;;;;68.4364;15.18137;0;;
Kaljordvassdraget;178.3Z;8;Lofoten_og_Vesterålen;178.3Z_Kaljordv;18;13;27;0.8;FALSE;;TRUE;296;Midt;;;;68.52782;15.26511;0;;
Fiskfjordvassdraget;178.42Z;8;Lofoten_og_Vesterålen;178.42Z_Fiskfjor;8;6;12;0.81;FALSE;;TRUE;288;Midt;;;;68.56887;15.34003;0;;
Blokkenvassdraget (Blokkelva);178.43Z;8;Lofoten_og_Vesterålen;178.43Z_Blokkenv;10;7;15;0.7;FALSE;;TRUE;280;Midt;;;;68.60054;15.38319;0;;
Kjerringnesvassdraget;178.51Z;8;Lofoten_og_Vesterålen;Kjerringnes;281;211;356;0.64;TRUE;;TRUE;297;Midt;1.5;4;1;68.6559006;15.4847772;0;;
Osvollvassdraget;178.52Z;8;Lofoten_og_Vesterålen;178.52Z_Osvollva;205;153;261;0.53;FALSE;;TRUE;308;Midt;;;;68.67585;15.47553;0;;
Sørdalselva;178.54Z;8;Lofoten_og_Vesterålen;178.54Z_Sørdalse;146;109;218;0.59;FALSE;;TRUE;319;Midt;;;;68.69349;15.71613;0;;
Eidebuktvassdraget;178.55Z;8;Lofoten_og_Vesterålen;178.55Z_Eidebukt;;;;0.48;FALSE;;TRUE;285;Midt;;;;68.74229;15.66085;0;;
Roksøyvassdraget;178.62Z;8;Lofoten_og_Vesterålen;178.62Z_Roksøyva;53;40;80;0.76;FALSE;;TRUE;311;Midt;;;;68.80354;15.54476;0;;
Forfjordelva;178.63Z;8;Lofoten_og_Vesterålen;Forfjord;117;88;175;0.53;TRUE;;TRUE;289;Midt;1;4;1;68.8171351;15.6807056;0;;
Gårdselvvassdraget;178.6Z;8;Lofoten_og_Vesterålen;Gardselv;292;219;372;0.72;TRUE;;TRUE;291;Midt;1;4;1;68.8302106;15.6556375;0;;
Litlelvvassdraget;178.73Z;8;Lofoten_og_Vesterålen;178.73Z_Litlelvv;;;;0.61;FALSE;;TRUE;303;Midt;;;;68.95516;15.7569;0;;
Storelva (Lovik);178.74Z;8;Lofoten_og_Vesterålen;178.74Z_Storelva;101;76;152;0.63;FALSE;;TRUE;316;Midt;;;;68.95554;15.79304;0;;
Buksnesvassdraget;178.7Z;8;Lofoten_og_Vesterålen;Buksnes;573;430;716;0.74;TRUE;;TRUE;283;Midt;1;4;1;68.8861578;15.6354513;0;;
Langvatnvassdraget;178.9Z;9;Kysten_av_Troms;178.9Z_Langvatn;22;18;26;0.52;FALSE;;TRUE;357;Midt;;;;68.61621;15.76451;0;;
Vestpollvassdraget (Vågan);179.332Z;8;Lofoten_og_Vesterålen;179.332Z_Vestpoll;61;45;76;0.6;FALSE;;TRUE;320;Midt;;;;68.3214;14.65138;0;;
Svolværvassdraget;179.41Z;8;Lofoten_og_Vesterålen;179.41Z_Svolværv;;;;0.87;FALSE;;TRUE;318;Midt;;;;68.24215;14.54198;0;;
Delpvassdraget;179.7Z;8;Lofoten_og_Vesterålen;179.7Z_Delpvass;;;;0.45;FALSE;;TRUE;284;Midt;;;;68.37933;14.5558;0;;
Fiskebølvassdraget;179.8Z;8;Lofoten_og_Vesterålen;179.8Z_Fiskebøl;;;;0.66;FALSE;;TRUE;287;Midt;;;;68.42791;14.81986;0;;
Helosvassdraget;180.11Z;8;Lofoten_og_Vesterålen;180.11Z_Helosvas;11;8;14;0.62;FALSE;;TRUE;293;Midt;;;;68.25996;14.01077;0;;
