Kystregion;Østlandet;Drammen;Agderkysten;Jæren;Kysten_fra_Stadt_til_Stavanger;Kysten_av_Møre_og_Romsdal;Kysten_av_Trøndelag;Nordlandskysten_sør_for_Vestfjorden;Lofoten_og_Vesterålen;Kysten_av_Troms;Finnmark_vest;Finnmark_midt;Finnmark_øst;Varangerfjord;Lyngen_Reisa;Kvænangen;Fjordene_i_Vest-Finnmark;Porsangerfjorden;Tanafjorden;Køfjord_Bøkfjord_Jarfjord;Indre_Rogaland;Hardangerfjord;Osterøy;Austfjorden;Sognefjorden;Dalsfjorden;Førdefjorden;Nordfjord;Sunnmørsfjordene;Romsdalsfjord;Sunndalsfjord;Nordmørsfjordene;Hemnfjorden;Trondheimsfjorden;Åfjord;Namsfjorden;Follafjorden;Sørsalten;Bindalsfjorden;Vellfjorden;Vefsnfjorden;Sjona;Ranafjorden;Beiarfjorden;Skjerstadfjorden;Sørfolda;Ofot_Efjord_Tysfjord;Astafjorden_Salangen;Malangen;Balsfjord;Utlandet
Vefsnfjorden;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Sjona;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Ranafjorden;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Beiarfjorden;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Skjerstadfjorden;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Sørfolda;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Ofot_Efjord_Tysfjord;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Astafjorden_Salangen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Malangen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Balsfjord;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
