Vassdrag	Vdrnr	Aar	FangstHunnU3_Justert	FangstHunn37_Justert	FangstHunnO7_Justert	GytingHunnU3	GytingHunn37	GytingHunnO7	AndelHunnU3	AndelHunn37	AndelHunnO7
Numedalsl?en	015.Z	1998	212.0196194	6056.191261	2057.174384	299.2090906	10464.92492	4291.877602	0.092584367	0.694505604	0.540457657
Numedalsl?en	015.Z	1999	232.8894565	6024.436436	2074.437038	366.4249584	10745.99458	4267.041925	0.105902666	0.698621236	0.540479855
Numedalsl?en	015.Z	2000	213.0815188	5901.520357	2024.229039	312.3627778	11965.01619	4533.417366	0.097465148	0.700792589	0.545139334
Numedalsl?en	015.Z	2001	206.5661016	6029.939472	2021.861848	271.799282	10497.45475	4970.9987	0.095440378	0.697149128	0.551628948
Numedalsl?en	015.Z	2002	238.2255408	5863.48348	2047.72968	312.8976323	10672.89508	5110.14631	0.103742084	0.69867437	0.542927912
Numedalsl?en	015.Z	2003	204.7714642	5888.365292	2024.709612	294.7849897	9156.913764	4339.770483	0.105635375	0.699458313	0.550554332
Numedalsl?en	015.Z	2004	219.866858	6172.760886	2024.450343	362.3590343	10746.38295	4439.978625	0.100549571	0.701041741	0.565095006
Numedalsl?en	015.Z	2005	182.4909507	5913.723245	2002.459598	303.4494022	10524.07027	4755.14735	0.099098997	0.692367798	0.54638068
Numedalsl?en	015.Z	2006	237.8720797	6096.971037	2020.003586	322.1030646	10757.53132	4587.551649	0.098866842	0.697044454	0.553659957
Numedalsl?en	015.Z	2007	209.584983	5859.49224	2128.008327	288.9290227	10438.38536	4129.596428	0.098741342	0.694840607	0.538702353
Numedalsl?en	015.Z	2008	207.8540511	6038.444505	1993.950123	282.5325578	10377.28269	5627.5871	0.09990371	0.705555033	0.559090762
Numedalsl?en	015.Z	2009	225.6336925	5799.877027	2076.220634	297.5938661	10389.52497	4747.242968	0.105619795	0.700323978	0.545920165
Numedalsl?en	015.Z	2010	227.2477255	6184.212879	2032.691763	285.3601552	10897.90299	4848.266487	0.101996699	0.705440365	0.55118957
Numedalsl?en	015.Z	2011	225.9344148	5960.790614	1957.026953	273.1193286	11520.69725	3875.530491	0.103209413	0.696942905	0.539488886
Numedalsl?en	015.Z	2012	203.6920158	6177.471616	2075.170765	321.4598756	9952.501248	3781.685709	0.10542115	0.703351408	0.555786999
Numedalsl?en	015.Z	2013	210.3558108	5832.002477	2085.601285	309.8170973	9890.777967	4864.755488	0.097287952	0.695364778	0.557342208
Numedalsl?en	015.Z	2014	238.5934833	6079.416928	2156.642098	294.1228251	10452.13715	4974.714203	0.097770198	0.702107753	0.546427061
Numedalsl?en	015.Z	2015	209.7829415	5871.463963	2019.89687	290.9420662	9957.149793	4465.370262	0.096188061	0.708854176	0.550825869
Numedalsl?en	015.Z	2016	228.3487571	5850.50054	2142.584192	300.4977145	10671.59696	4350.584852	0.103295435	0.70372938	0.547189093
Numedalsl?en	015.Z	2017	236.02611	6121.313213	1981.306602	281.80905	9664.918025	5367.848885	0.10084189	0.69721005	0.546539896
Numedalsl?en	015.Z	2018	197.8243019	5765.402772	1956.694363	291.6250961	11505.94165	4384.486071	0.102300912	0.699669527	0.550076252
Numedalsl?en	015.Z	2019	224.5212198	5931.649867	2157.150369	367.919517	10642.93494	4872.335801	0.104896076	0.693878707	0.550820334
Sandvikselva	008.Z	1993	33.15672985	44.01011669	3.623747197	18.30828265	71.02196818	6.671795087	0.383634336	0.699198456	0.544377107
Sandvikselva	008.Z	1994	35.63073334	44.58441136	3.546215998	18.73412437	91.92396198	4.301558874	0.400203199	0.707196388	0.541480686
Sandvikselva	008.Z	1995	33.208791	43.76690712	3.824021712	22.55662259	60.86483705	8.692700661	0.398173991	0.699359267	0.551563399
Sandvikselva	008.Z	1996	36.03608427	44.06632121	3.995143706	22.30691383	83.25770675	10.40867238	0.399516538	0.702363987	0.549433153
Sandvikselva	008.Z	1997	34.79523619	42.91100043	4.069776807	21.06519945	78.08705792	6.895228969	0.398339917	0.694220687	0.55002335
Sandvikselva	008.Z	1998	35.38933558	43.37288661	3.772642863	17.59606666	56.96980931	11.09867396	0.397439856	0.709890509	0.547814269
Sandvikselva	008.Z	1999	32.61402762	44.04658879	3.900576294	20.74284658	57.62441876	12.2973225	0.405033594	0.699688809	0.544682301
Sandvikselva	008.Z	2000	34.21694826	43.08312861	3.680662935	18.77834507	79.22039887	10.0390356	0.396830586	0.703371658	0.552852062
Sandvikselva	008.Z	2001	33.74603423	44.13983257	3.690714813	21.66196176	84.79669592	7.951323677	0.404630625	0.709041209	0.553225105
Sandvikselva	008.Z	2002	33.67321346	41.7392345	3.725397947	21.03473901	46.68739315	9.548678374	0.399655188	0.696205934	0.539105668
Sandvikselva	008.Z	2003	37.18712644	43.78392818	0	24.54080949	62.05077396	0	0.387066389	0.692734987	0.541471041
Sandvikselva	008.Z	2004	34.35041115	43.69747382	3.96781182	21.82483578	65.97500273	4.800520994	0.404527547	0.70060925	0.546508035
Sandvikselva	008.Z	2005	33.00271273	45.01457406	3.886188069	19.26356833	79.39407555	8.822317173	0.406958025	0.703160477	0.546969667
Sandvikselva	008.Z	2006	30.82837945	42.95679014	3.880685447	20.95806294	73.56981524	8.902678284	0.404076565	0.701211979	0.546145571
Sandvikselva	008.Z	2007	37.58752702	44.34340944	4.083611342	22.1665637	49.67960593	7.943040911	0.401158345	0.696705667	0.55054226
Sandvikselva	008.Z	2008	32.62782973	43.52877236	3.73075374	22.32157053	78.77593411	4.816123901	0.393311303	0.698130869	0.557474824
Sandvikselva	008.Z	2009	32.930832	45.89181169	3.885146626	20.0432548	73.87799968	9.519813026	0.404693211	0.701632932	0.550687238
Sandvikselva	008.Z	2010	34.32203662	43.36498961	3.756988577	19.52405942	63.25116502	5.75318116	0.397594246	0.703165341	0.5512794
