"Vassdrag" "Vdrnr" "Kommune" "Aar" "GBMkghunner" "ElvebestVillSma025" "ElvebestVillSma25" "ElvebestVillSma50" "ElvebestVillSma75" "ElvebestVillSma975" "ElvebestVillMel025" "ElvebestVillMel25" "ElvebestVillMel50" "ElvebestVillMel75" "ElvebestVillMel975" "ElvebestVillStor025" "ElvebestVillStor25" "ElvebestVillStor50" "ElvebestVillStor75" "ElvebestVillStor975" "ElvebestVillTot025" "ElvebestVillTot25" "ElvebestVillTot50" "ElvebestVillTot75" "ElvebestVillTot975" "OppdrettAntall025" "OppdrettAntall25" "OppdrettAntall50" "OppdrettAntall75" "OppdrettAntall975" "AntOppdr025" "AntOppdr25" "AntOppdr50" "AntOppdr75" "AntOppdr975"
"Enningdalselva" "001.1Z" "Halden" 2008 453 45.4334506644372 50.7345324666327 54.6109495483874 57.88838901989 62.7511594676456 119.323567102993 146.158992898258 168.411151817216 191.271836098354 240.979671435923 130.507141599788 164.526450702462 196.624726211785 235.539443452051 340.369228306331 330.411946073834 385.184919122492 424.075711314715 467.916243290231 573.357259517768 0 0 0 0 0 0 0 0 0 0
"Enningdalselva" "001.1Z" "Halden" 2009 453 63.0972045401374 70.153344463344 75.6106542924105 80.2185481819032 86.6690808744732 144.364265892779 177.394922213897 204.036572366345 232.340933744826 294.44130089721 150.620054887156 188.617487194494 224.646261600708 268.878189694246 386.325621333691 399.821517722079 464.155831300994 508.993688583273 561.503440574379 687.704304915755 0 0 0 0 0 0 0 0 0 0
"Enningdalselva" "001.1Z" "Halden" 2010 453 71.5479660647201 79.7332451831446 85.7854187265129 90.951823719084 98.5924353734934 184.933726342151 225.72387099821 260.678531143284 298.081025226066 373.281186617971 214.013295281869 266.808074576193 317.900989770861 377.685910122858 547.234215783413 524.055601288017 609.886583975587 670.536402747347 742.343150292705 911.830668664677 0 0 0 0 0 0 0 0 0 0
"Enningdalselva" "001.1Z" "Halden" 2011 453 62.7868911729441 70.022065140778 75.6002188724718 80.1820873529905 86.4177086105727 212.761561986181 260.905545737938 300.671251376034 341.424731979868 429.567738728965 128.997912563831 161.601958582739 192.695275228688 228.057817030345 325.881075805875 450.187301268154 524.714868683321 574.903483600619 630.393726202622 752.172729713856 0 0 0 0 0 0 0 0 0 0
"Enningdalselva" "001.1Z" "Halden" 2012 453 25.2534423133128 27.6459877571656 29.3647817269465 30.9601212682286 32.9484056541858 129.276076740679 151.078317209873 169.096955140129 186.455945529292 219.79273776056 192.583892192548 228.941146252081 258.346423485485 289.910557033967 359.693744453852 375.149817108393 425.522516026949 457.546606019879 492.305538836622 569.140025754299 0 0 0 0 0 0 0 0 0 0
"Enningdalselva" "001.1Z" "Halden" 2013 453 33.2849181283774 37.0736107986104 39.8210614734226 42.1841351211496 45.7064650680676 128.362736076953 156.613689831502 180.285787737749 205.492536123003 258.794051754201 150.163885806829 188.317618091035 224.340959389267 268.371611354898 384.672381407996 344.334995895254 405.93806254915 449.21581979488 500.216296350697 623.814443724577 0 0 0 0 0 0 0 0 0 0
"Enningdalselva" "001.1Z" "Halden" 2014 453 10.5072777607133 11.6977668739778 12.5756863513114 13.3275860492659 14.4518241485691 58.4148864694166 71.5583505041211 82.905477195084 94.5581534923081 118.784815613811 68.9847606271492 87.3462802372035 103.254589295748 123.503226028707 177.762283223094 152.92388578111 181.59502461753 201.252936439963 224.299211983994 278.993608998203 0 0 0 0 0 0 0 0 0 0
"Enningdalselva" "001.1Z" "Halden" 2015 453 26.7626769606358 29.3009529853204 31.1209804632052 32.6841730980706 34.9221385050554 107.403899138231 125.888115241481 140.390121808295 155.621952082329 183.404602370083 166.852797504021 198.434091424445 223.227011754072 249.941360724002 310.653531845148 324.545597640077 367.682196465512 396.16772442399 426.923717026712 492.248562730285 0 0 0 0 0 0 0 0 0 0
"Enningdalselva" "001.1Z" "Halden" 2016 453 12.2320589827171 13.6068220341455 14.5830319437462 15.4948056618078 16.8282601947747 67.0470755297021 82.3665704879527 94.7073343212276 107.853854627362 135.810759308059 78.6807084752685 98.9033864469615 116.731864184674 139.671314466794 200.281884061779 175.155826214926 207.083495685132 229.476129015222 255.261380574404 318.932456021072 0 0 0 0 0 0 0 0 0 0
"Enningdalselva" "001.1Z" "Halden" 2017 453 6.96920316950801 7.76632260877538 8.34840050066944 8.87691828365404 9.58565566380353 82.6614014894613 101.352875281292 116.718422587273 132.790203709089 167.818876898155 72.2795468208022 91.2907081932979 108.791553854013 129.457572132242 185.001639712671 180.258905813439 213.202082772054 236.65241583356 262.427863248127 322.414337609704 0 0 0 0 0 0 0 0 0 0
