"Vassdrag" "Vdrnr" "Aar" "ExpSmallMin" "FangstAndSmallMin" "ExpSmallMed" "FangstAndSmallMed" "ExpSmallMax" "FangstAndSmallMax" "ExpMellomMin" "FangstAndMellomMin" "ExpMellomMed" "FangstAndMellomMed" "ExpMellomMax" "FangstAndMellomMax" "ExpStorMin" "FangstAndStorMin" "ExpStorMed" "FangstAndStorMed" "ExpStorMax" "FangstAndStorMax"
"Numedalslågen" "015.Z" 1998 0.3 0.3 0.45 0.45 0.55 0.55 0.3 0.3 0.35 0.35 0.45 0.45 0.2 0.2 0.3 0.3 0.45 0.45
"Numedalslågen" "015.Z" 1999 0.3 0.3 0.45 0.45 0.55 0.55 0.3 0.3 0.35 0.35 0.45 0.45 0.2 0.2 0.3 0.3 0.45 0.45
"Numedalslågen" "015.Z" 2000 0.3 0.3 0.45 0.45 0.55 0.55 0.3 0.3 0.35 0.35 0.45 0.45 0.2 0.2 0.3 0.3 0.45 0.45
"Numedalslågen" "015.Z" 2001 0.3 0.3 0.45 0.45 0.55 0.55 0.3 0.3 0.35 0.35 0.45 0.45 0.2 0.2 0.3 0.3 0.45 0.45
"Numedalslågen" "015.Z" 2002 0.3 0.3 0.45 0.45 0.55 0.55 0.3 0.3 0.35 0.35 0.45 0.45 0.2 0.2 0.3 0.3 0.45 0.45
"Numedalslågen" "015.Z" 2003 0.3 0.3 0.45 0.45 0.55 0.55 0.3 0.3 0.35 0.35 0.45 0.45 0.2 0.2 0.3 0.3 0.45 0.45
"Numedalslågen" "015.Z" 2004 0.3 0.3 0.45 0.45 0.55 0.55 0.3 0.3 0.35 0.35 0.45 0.45 0.2 0.2 0.3 0.3 0.45 0.45
"Numedalslågen" "015.Z" 2005 0.3 0.3 0.45 0.45 0.55 0.55 0.3 0.3 0.35 0.35 0.45 0.45 0.2 0.2 0.3 0.3 0.45 0.45
"Numedalslågen" "015.Z" 2006 0.3 0.3 0.45 0.45 0.55 0.55 0.3 0.3 0.35 0.35 0.45 0.45 0.2 0.2 0.3 0.3 0.45 0.45
"Numedalslågen" "015.Z" 2007 0.3 0.3 0.45 0.45 0.55 0.55 0.3 0.3 0.35 0.35 0.45 0.45 0.2 0.2 0.3 0.3 0.45 0.45
"Numedalslågen" "015.Z" 2008 0.3 0.3 0.45 0.45 0.55 0.55 0.3 0.3 0.35 0.35 0.45 0.45 0.2 0.2 0.3 0.3 0.45 0.45
"Numedalslågen" "015.Z" 2009 0.3 0.3 0.45 0.45 0.55 0.55 0.3 0.3 0.35 0.35 0.45 0.45 0.2 0.2 0.3 0.3 0.45 0.45
"Numedalslågen" "015.Z" 2010 0.2 0.2 0.35 0.35 0.45 0.45 0.2 0.2 0.25 0.25 0.35 0.35 0.1 0.1 0.2 0.2 0.35 0.35
"Numedalslågen" "015.Z" 2011 0.2 0.2 0.35 0.35 0.45 0.45 0.2 0.2 0.25 0.25 0.35 0.35 0.1 0.1 0.2 0.2 0.35 0.35
"Numedalslågen" "015.Z" 2012 0.3 0.3 0.45 0.45 0.55 0.55 0.3 0.3 0.35 0.35 0.45 0.45 0.2 0.2 0.3 0.3 0.45 0.45
"Numedalslågen" "015.Z" 2013 0.3 0.3 0.45 0.45 0.55 0.55 0.3 0.3 0.35 0.35 0.45 0.45 0.2 0.2 0.3 0.3 0.45 0.45
"Numedalslågen" "015.Z" 2014 0.3 0.3 0.45 0.45 0.55 0.55 0.2 0.2 0.25 0.25 0.35 0.35 0.2 0.2 0.3 0.3 0.45 0.45
"Numedalslågen" "015.Z" 2015 0.3 0.3 0.45 0.45 0.55 0.55 0.3 0.3 0.35 0.35 0.45 0.45 0.2 0.2 0.3 0.3 0.45 0.45
"Numedalslågen" "015.Z" 2016 0.3 0.3 0.45 0.45 0.55 0.55 0.3 0.3 0.35 0.35 0.45 0.45 0.2 0.2 0.3 0.3 0.45 0.45
"Numedalslågen" "015.Z" 2017 0.3 0.3 0.45 0.45 0.55 0.55 0.3 0.3 0.35 0.35 0.45 0.45 0.2 0.2 0.3 0.3 0.45 0.45
"Numedalslågen" "015.Z" 2018 0.2 0.2 0.35 0.35 0.45 0.45 0.2 0.2 0.25 0.25 0.35 0.35 0.1 0.1 0.2 0.2 0.35 0.35
"Numedalslågen" "015.Z" 2019 0.293454545454545 0.3 0.440181818181818 0.45 0.538 0.55 0.296653796653797 0.3 0.346096096096096 0.35 0.444980694980695 0.45 0.195923566878981 0.2 0.293885350318471 0.3 0.440828025477707 0.45
